                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.74138,                 1.1117,                0.61328,                0.90541,                0.93805,                0.95482,                0.97072,                0.79257,                0.93519,                0.95209,                0.96672,                0.70309,                0.63355,                0.97939,                 0.5159,                0.87412,              0.0096205,              0.0096205,              0.0096205
                     26,                0.73546,                 1.0913,                0.60474,                0.89702,                 0.9434,                 0.9652,                 0.9718,                0.78684,                0.94165,                0.95895,                0.96745,                0.69789,                0.64691,                0.94219,                0.52593,                0.88941,               0.009604,               0.009604,               0.009604
                     27,                0.74161,                 1.1068,                0.61269,                0.90355,                 0.9346,                 0.9572,                0.96275,                0.78343,                0.92238,                0.94367,                0.94907,                0.67869,                0.65612,                 1.0359,                0.52095,                0.88708,              0.0095875,              0.0095875,              0.0095875
                     28,                0.72793,                 1.0656,                0.58762,                0.90016,                0.94721,                0.95229,                0.96914,                 0.7658,                0.93934,                0.94382,                0.96077,                0.65842,                0.67651,                 1.0097,                0.51679,                0.89515,               0.009571,               0.009571,               0.009571
                     29,                0.72876,                 1.0853,                0.58815,                0.89895,                0.94596,                0.95087,                0.97001,                0.79512,                0.93507,                 0.9405,                0.96057,                0.70281,                0.63895,                 1.0002,                0.50186,                0.88271,              0.0095545,              0.0095545,              0.0095545
                     30,                0.72237,                  1.066,                0.57717,                0.89921,                0.94065,                0.97558,                0.96944,                0.79422,                0.93834,                0.97317,                0.96651,                0.71041,                0.62153,                0.93462,                0.48157,                0.87712,               0.009538,               0.009538,               0.009538
                     31,                0.71914,                 1.0734,                0.58664,                0.90482,                0.94381,                0.98638,                0.97814,                0.80674,                0.94257,                0.98501,                0.97751,                0.73322,                0.62365,                0.93314,                0.47978,                0.87671,              0.0095215,              0.0095215,              0.0095215
                     32,                0.71932,                 1.0727,                0.57247,                0.89795,                0.93824,                0.94981,                0.94666,                0.77132,                0.93508,                 0.9455,                0.94366,                 0.6847,                0.65044,                0.96735,                0.47679,                0.88225,               0.009505,               0.009505,               0.009505
                     33,                0.71673,                 1.0485,                0.56634,                0.89526,                0.94686,                0.97975,                0.97573,                 0.8058,                0.94504,                0.98176,                0.97576,                0.72253,                0.62316,                0.92942,                0.44909,                0.87748,              0.0094885,              0.0094885,              0.0094885
                     34,                0.71703,                 1.0637,                0.56802,                0.89447,                0.94211,                0.96186,                0.97092,                0.79068,                0.93765,                0.96413,                0.96627,                0.71303,                0.64409,                0.94077,                0.46461,                0.88623,               0.009472,               0.009472,               0.009472
                     35,                0.70612,                 1.0459,                0.54229,                0.89454,                0.94146,                0.97508,                0.97235,                0.80375,                 0.9419,                0.96994,                0.96827,                0.71122,                0.61795,                0.89576,                0.46832,                0.87771,              0.0094555,              0.0094555,              0.0094555
                     36,                0.70892,                 1.0533,                0.54816,                0.89296,                 0.9448,                0.97032,                0.97432,                0.80204,                 0.9398,                0.96656,                0.97105,                0.72084,                0.60962,                0.92371,                 0.4609,                0.87837,               0.009439,               0.009439,               0.009439
                     37,                0.71241,                 1.0567,                0.54737,                 0.8943,                0.94436,                0.95561,                0.97483,                0.80332,                0.94346,                0.95466,                0.97319,                0.72634,                0.62721,                0.92388,                0.45937,                0.87463,              0.0094225,              0.0094225,              0.0094225
                     38,                0.70157,                 1.0585,                0.54825,                0.89201,                0.93783,                0.96267,                0.96985,                 0.8059,                0.93576,                0.95808,                0.96411,                0.70898,                 0.6006,                 0.9274,                0.45125,                0.87069,               0.009406,               0.009406,               0.009406
                     39,                0.69577,                 1.0426,                0.52055,                0.89167,                0.94438,                0.97546,                  0.975,                0.80706,                 0.9407,                0.97178,                0.96885,                 0.7056,                0.61499,                0.93043,                0.44566,                0.87824,              0.0093895,              0.0093895,              0.0093895
                     40,                0.69838,                 1.0433,                0.54365,                0.89639,                0.94877,                0.98073,                0.97226,                0.80308,                0.94533,                0.97705,                0.96861,                0.71995,                0.60757,                0.89824,                0.45224,                0.87352,               0.009373,               0.009373,               0.009373
                     41,                0.70358,                 1.0183,                0.53473,                  0.895,                0.94384,                 0.9633,                0.97027,                0.79613,                 0.9345,                0.96186,                0.96331,                0.70389,                 0.6171,                0.91474,                0.46755,                0.88081,              0.0093565,              0.0093565,              0.0093565
                     42,                0.68934,                 1.0383,                0.52305,                0.89234,                0.94854,                0.95283,                0.96888,                0.78898,                0.94084,                 0.9486,                0.95563,                0.69883,                0.61712,                0.92153,                0.43913,                0.88041,                0.00934,                0.00934,                0.00934
                     43,                0.69484,                 1.0397,                0.52963,                0.89218,                 0.9373,                0.97489,                 0.9693,                0.79241,                0.93129,                0.96529,                0.96094,                0.70168,                0.63385,                 0.9098,                0.44531,                0.88294,              0.0093235,              0.0093235,              0.0093235
                     44,                0.68815,                 1.0207,                 0.5103,                0.89107,                0.94075,                0.98249,                0.97648,                0.81516,                0.93202,                0.98063,                0.96975,                 0.7306,                0.60785,                0.88781,                 0.4418,                0.87183,               0.009307,               0.009307,               0.009307
                     45,                0.69266,                 1.0065,                0.51182,                0.88939,                0.94441,                0.97509,                 0.9748,                0.80296,                0.93919,                0.96929,                0.96895,                0.70485,                0.63101,                0.90086,                0.43934,                0.87899,              0.0092905,              0.0092905,              0.0092905
                     46,                0.68188,                 1.0301,                0.51603,                0.88862,                0.95259,                0.96934,                 0.9732,                0.81475,                 0.9511,                0.96797,                0.97109,                0.73404,                0.59856,                0.88251,                0.42738,                 0.8702,               0.009274,               0.009274,               0.009274
                     47,                0.68802,                  1.019,                0.49559,                0.88717,                0.94752,                0.97419,                0.97542,                0.80831,                0.94344,                 0.9703,                0.97169,                0.71823,                0.59865,                0.87105,                0.42957,                0.87565,              0.0092575,              0.0092575,              0.0092575
                     48,                0.68642,                 1.0209,                0.50395,                0.89566,                0.93983,                0.96838,                0.96689,                 0.8022,                0.93463,                0.96311,                0.96083,                0.71888,                0.61072,                 0.8697,                0.44086,                0.87021,               0.009241,               0.009241,               0.009241
                     49,                0.68077,                0.99479,                0.50451,                0.88442,                0.93194,                0.97438,                0.97026,                0.80206,                0.92392,                0.97088,                 0.9624,                0.69657,                0.61629,                0.91256,                0.43972,                0.88004,              0.0092245,              0.0092245,              0.0092245
                     50,                0.66825,                 1.0011,                0.49784,                0.88355,                0.94648,                0.97815,                 0.9764,                0.81716,                 0.9447,                0.97636,                0.97447,                0.73174,                0.58972,                 0.8709,                0.41879,                0.86694,               0.009208,               0.009208,               0.009208
                     51,                0.68072,                 1.0176,                0.49536,                 0.8869,                0.94391,                 0.9792,                0.96954,                0.81342,                0.94363,                0.97801,                0.96636,                0.71973,                0.59122,                0.85507,                 0.4125,                 0.8679,              0.0091915,              0.0091915,              0.0091915
                     52,                0.68072,                 1.0038,                0.49387,                0.89037,                0.95515,                0.97451,                0.97712,                0.81783,                0.95318,                0.97272,                0.97512,                 0.7286,                0.59148,                0.87903,                0.42495,                 0.8678,               0.009175,               0.009175,               0.009175
                     53,                0.67666,                   0.99,                0.50097,                0.88746,                0.94954,                0.97124,                0.97278,                0.81136,                0.94632,                  0.968,                0.96923,                0.71754,                0.58857,                0.88388,                0.42077,                0.86693,              0.0091585,              0.0091585,              0.0091585
                     54,                0.66698,                0.99081,                0.47837,                0.88624,                0.94707,                0.97456,                0.97105,                0.81898,                0.94627,                0.96974,                0.96671,                0.72398,                0.57294,                0.85658,                 0.4094,                0.86352,               0.009142,               0.009142,               0.009142
                     55,                 0.6594,                 1.0126,                0.47896,                0.88277,                0.94502,                0.95498,                0.95779,                0.80283,                0.94004,                0.94992,                0.95377,                0.71046,                0.58049,                0.86149,                0.40942,                 0.8639,              0.0091255,              0.0091255,              0.0091255
                     56,                0.66926,                0.99378,                0.48551,                0.88434,                0.94942,                0.98112,                0.97349,                 0.8198,                 0.9457,                  0.977,                 0.9704,                0.73003,                0.58758,                0.85931,                0.40952,                0.86834,               0.009109,               0.009109,               0.009109
                     57,                0.66151,                 1.0007,                0.48525,                 0.8828,                0.93069,                0.96099,                0.97176,                 0.8059,                0.94825,                0.93918,                0.97005,                  0.722,                0.60438,                0.96762,                 0.4574,                0.87567,              0.0090925,              0.0090925,              0.0090925
                     58,                0.65715,                 1.0009,                0.47242,                0.88552,                0.95184,                0.97804,                0.97224,                0.80774,                 0.9501,                0.97625,                0.97056,                0.73571,                0.60389,                0.86594,                0.41582,                0.87044,               0.009076,               0.009076,               0.009076
                     59,                0.68058,                0.99148,                  0.478,                0.88687,                0.94951,                0.95565,                0.97569,                0.80946,                0.94511,                0.95111,                0.96823,                0.71169,                0.61076,                0.96209,                0.41944,                0.87407,              0.0090595,              0.0090595,              0.0090595
                     60,                0.66201,                0.97431,                0.46775,                0.88092,                 0.9541,                0.98078,                 0.9754,                0.81856,                 0.9534,                 0.9768,                0.97336,                0.71668,                 0.5939,                0.87531,                0.40448,                0.86671,               0.009043,               0.009043,               0.009043
                     61,                0.67003,                0.99116,                0.47591,                0.88412,                0.94087,                0.98764,                 0.9744,                0.82439,                 0.9503,                0.97302,                0.97382,                 0.7288,                0.58264,                0.86172,                0.40031,                0.86709,              0.0090265,              0.0090265,              0.0090265
                     62,                0.65896,                0.96884,                0.46582,                0.88238,                 0.9441,                0.98546,                0.97636,                0.82433,                0.94107,                0.98239,                0.97202,                0.73844,                0.58561,                0.85846,                0.40014,                0.86544,                0.00901,                0.00901,                0.00901
                     63,                0.65455,                0.97941,                0.46854,                0.88297,                 0.9474,                0.97617,                0.97431,                0.81768,                0.94563,                0.97446,                0.97094,                0.73616,                 0.5874,                0.83635,                 0.4048,                  0.866,              0.0089935,              0.0089935,              0.0089935
                     64,                0.66732,                0.97954,                0.47376,                0.88924,                0.94733,                0.96477,                0.97213,                0.81436,                  0.944,                0.96023,                0.96829,                0.72103,                0.59234,                 0.8942,                0.40539,                0.86771,               0.008977,               0.008977,               0.008977
                     65,                0.66387,                 0.9802,                0.47302,                0.88744,                0.94639,                0.97023,                0.97408,                0.82672,                0.95218,                 0.9555,                0.96813,                0.73404,                0.57576,                0.83932,                0.39616,                0.86305,              0.0089605,              0.0089605,              0.0089605
                     66,                0.65181,                 0.9642,                0.46142,                0.88234,                0.94776,                 0.9724,                0.97764,                0.82515,                0.94607,                0.97061,                0.97581,                0.73854,                0.58189,                0.83951,                0.39244,                0.86752,               0.008944,               0.008944,               0.008944
