                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5795,                 6.8359,                 4.2821,                 1.3279,                0.73923,                0.11588,                0.10501,                0.07492,                0.88758,                0.06361,                0.09674,                0.05353,                 1.0689,                 4.9932,                 3.8828,                0.99386,             0.00018816,             0.00018816,             0.00018816
                      2,                 1.0954,                 2.3437,                 2.1827,                 1.0066,                0.99311,                0.15457,                0.49379,                0.38505,                0.99308,                0.15454,                0.49017,                0.31657,                0.91414,                 3.4536,                 2.9851,                0.94792,             0.00038144,             0.00038144,             0.00038144
                      3,                0.95014,                  1.841,                  1.373,                0.96917,                0.94078,                0.28168,                  0.648,                0.50471,                0.94078,                0.28168,                0.64039,                0.40264,                0.87837,                 2.0585,                  2.228,                0.93232,             0.00057396,             0.00057396,             0.00057396
                      4,                 0.8829,                 1.6481,                 1.0907,                0.95044,                0.87682,                0.80011,                0.90543,                0.69737,                0.87332,                0.79714,                0.89704,                0.58624,                 0.7803,                 1.4575,                 1.1679,                0.91148,             0.00058451,             0.00058451,             0.00058451
                      5,                0.86118,                  1.565,                0.94202,                0.93561,                0.88914,                0.87246,                0.92525,                0.72864,                0.88577,                0.86845,                0.92322,                0.60723,                0.73078,                 1.3718,                0.82562,                0.89822,             0.00058451,             0.00058451,             0.00058451
                      6,                0.80948,                 1.4619,                0.86542,                0.91808,                0.91113,                0.92582,                0.95426,                0.75383,                 0.9088,                0.92472,                0.95292,                0.63486,                 0.7065,                 1.2978,                0.71912,                0.89352,             0.00058334,             0.00058334,             0.00058334
                      7,                0.79403,                 1.4226,                0.80408,                 0.9196,                0.92589,                0.93216,                0.95719,                 0.7574,                0.92252,                0.92804,                0.95167,                 0.6267,                0.68748,                 1.2726,                0.68151,                0.88349,             0.00058218,             0.00058218,             0.00058218
                      8,                0.78916,                 1.3868,                0.78328,                 0.9096,                0.90695,                0.94377,                0.95763,                0.76383,                 0.9013,                0.92826,                0.94705,                0.65539,                 0.6876,                 1.1691,                0.65046,                0.88901,             0.00058101,             0.00058101,             0.00058101
                      9,                0.75977,                 1.3332,                0.73675,                0.90623,                0.92942,                 0.9498,                 0.9613,                0.77335,                0.92969,                0.94321,                0.95748,                0.67417,                 0.6767,                 1.1288,                0.59343,                0.88052,             0.00057985,             0.00057985,             0.00057985
                     10,                0.76235,                    1.3,                0.71389,                0.90663,                0.92957,                0.95488,                 0.9633,                0.77689,                0.92167,                0.94809,                0.95488,                0.67268,                0.66661,                 1.1166,                0.56504,                0.87379,             0.00057869,             0.00057869,             0.00057869
                     11,                0.76542,                 1.2956,                0.69727,                 0.9052,                0.91813,                0.95898,                0.95665,                0.76598,                0.91433,                0.95299,                0.95024,                0.66781,                0.66212,                 1.1183,                0.58348,                0.88342,             0.00057752,             0.00057752,             0.00057752
                     12,                0.74739,                 1.2684,                0.68111,                0.89994,                0.92499,                0.94578,                0.96332,                 0.7672,                0.91755,                0.93907,                0.95497,                0.67009,                0.67768,                 1.0739,                0.56481,                0.88437,             0.00057636,             0.00057636,             0.00057636
                     13,                  0.738,                 1.2654,                0.66536,                0.89469,                0.91856,                0.96972,                0.96556,                0.76644,                0.93056,                0.94782,                0.95408,                 0.6714,                0.68804,                 1.1157,                0.55294,                0.88601,             0.00057519,             0.00057519,             0.00057519
                     14,                0.72557,                 1.2069,                0.63712,                0.89693,                0.93159,                0.96819,                0.96475,                0.78992,                0.92805,                0.96451,                 0.9611,                0.68739,                0.63812,                 1.0717,                0.53024,                0.87036,             0.00057403,             0.00057403,             0.00057403
                     15,                0.73038,                 1.1951,                0.62842,                0.89691,                0.92619,                0.96947,                0.96629,                 0.7908,                0.91911,                0.96623,                0.96171,                0.70276,                 0.6346,                 1.0453,                0.49722,                0.86508,             0.00057286,             0.00057286,             0.00057286
                     16,                0.72384,                 1.2097,                0.63411,                0.89849,                0.92799,                0.96473,                 0.9682,                0.78004,                0.92562,                0.96122,                0.96426,                0.67279,                0.65843,                 1.0339,                0.52872,                0.87845,              0.0005717,              0.0005717,              0.0005717
                     17,                0.71975,                 1.1728,                0.60417,                0.89266,                0.93972,                0.95707,                0.96707,                0.79352,                0.93894,                0.95607,                0.96584,                0.70042,                0.62261,                 1.0089,                0.52357,                0.86686,             0.00057054,             0.00057054,             0.00057054
                     18,                0.71781,                 1.1764,                0.58697,                0.89133,                0.93049,                0.96304,                0.96638,                0.79353,                0.92923,                0.96103,                0.96267,                0.69616,                0.62112,                0.98873,                0.48601,                0.86847,             0.00056937,             0.00056937,             0.00056937
                     19,                0.70836,                 1.1521,                 0.5894,                0.89317,                0.93908,                0.95692,                0.96483,                0.79725,                0.93445,                0.95308,                0.95569,                0.70039,                0.61231,                0.97673,                0.47028,                0.86662,             0.00056821,             0.00056821,             0.00056821
                     20,                0.69221,                 1.1348,                0.56534,                0.88816,                0.93556,                0.97705,                0.96589,                0.80105,                0.93224,                0.97348,                0.96264,                0.70507,                0.60591,                0.96264,                0.46535,                0.85956,             0.00056704,             0.00056704,             0.00056704
                     21,                0.69327,                  1.093,                0.55793,                 0.8862,                0.93725,                0.97517,                0.97106,                0.80338,                0.94015,                0.96314,                0.96692,                0.70151,                0.62363,                0.94205,                0.47134,                0.86574,             0.00056588,             0.00056588,             0.00056588
